"項目","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
" 県内雇用者報酬","－","1.4553343596910417","-5.553284412290811","-2.7506734197974323","-3.60680477523847","-2.0324206720088256","-2.4662132621876447","-1.2330183914128217","-0.7992874231965298","0.04270035878716103","-0.31818266317178817","0.38394803311486514","-0.32533423299370656"
" 営業余剰・混合所得","－","-2.8528704872718733","13.913517481083298","2.8943580627463095","14.245667545221638","3.4024846763246392","-3.3589704811603602","-8.625571314026294","-12.951156294912586","19.59046743018363","3.567857818241334","1.5084795168411262","2.806361764238509"
" 固 定 資 本 減 耗","－","-2.393069763695345","-2.5830313669885143","0.47162110127069695","-2.0201989232146578","1.4923318114824122","2.1169404568102212","2.5470860683208434","1.8613936014226913","-2.742802636142907","1.0488273877986514","-2.9019117647058823","1.588448309547501"
" 生産・輸入品に課される税","－","-7.36085459695531","-8.983338948659036","3.145361280967238","2.8853833865814695","1.5510707213763983","-6.968509732721417","-2.277793663264088","-5.456063997818257","3.218691970697644","-1.5562503274937558","-0.6041304424967177","-4.022562766080879"
"［控除］補 助 金","－","-6.16931180500568","16.356631810676937","-16.021820704442973","-4.663562631420847","-8.589996061441513","-8.548407945193674","-6.56301531213192","31.756756756756754","-6.153846153846154","-4.069814860125601","-12.90171739500085","26.29703743472107"
"県内総生産(生産側､市場価格表示)","－","-1.3726698395339707","-0.5108327587313906","0.22043322873791593","2.7919110732087127","0.8350885354546289","-2.405265945765772","-3.1493066443846676","-4.869439378343174","5.620118129182691","1.1519954857613197","0.13577994033443086","0.6175240128727587"
" 民間最終消費支出","－","-2.967517062193732","-0.8480180569773158","6.4258802880396235","2.0270593880551564","1.3424744770863954","1.3294540293298807","0.19962860196152676","-7.28257945670957","-2.191410476787751","0.9538585519555809","-1.3561535579344646","4.93081926461393"
" 政府最終消費支出","－","0.5337326536887551","-1.044640281687339","1.267379826961882","-0.39802427104361027","-1.1819032279361663","1.4418525498402213","0.8543312419304531","-0.7442108038708819","0.7528942670794655","2.125987065423232","-0.6635475908396652","-0.5154376240317328"
" 総固定資本形成","－","4.024060157430081","-3.6448333669669646","-0.545116938640121","-4.257076304086962","2.758056311237918","8.063686803462955","-12.10580769379727","-0.472987348815895","-3.1360207246545473","4.466258533960855","15.3139199839993","7.851628940096762"
" 在 庫 品 増 加","－","-655.9767821512788","28.504779615673225","-65.70229077302182","27.420687376074028","72.38474672737621","98.48859576806815","47032.72727272727","-165.30624104133577","49.612931929408276","384.1123145749941","33.87133533616492","-135.74822404160153"
" 財貨・サ－ビスの移出入（純）","－","25.418876325126156","-2.336244071493661","55.65363716038563","4.592957991430695","34.92973617923903","-34.93098354810778","-141.71605450907856","-94.95338341167835","69.88292499269032","-250.86244730227548","-55.268284917217535","-12.103213836708289"
" 統計上の不突合","－","-4324.271844660194","95.28746982664033","-11419.091967403958","41.12623674822383","-45.2905330014591","-113.30060610356927","2.065521739491679","60.957034950638125","44.77730858098956","121.10019543290356","286.7781438428545","-19.872711785410072"
"県内総生産(支出側､市場価格表示)","－","-1.3726698395339707","-0.5108327587313906","0.22046128795745998","2.7918822940476202","0.8350612983856316","-2.4052395839579743","-3.149334321594229","-4.869412192691495","5.620118129182691","1.1519954857613197","0.1358080579447714","0.6175238394752507"
